index,ID_General,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Commenti,Data_Recensione,Vantaggi,Inconvenienti
530,530 Asana,Asana,Jasmine G.,"Owner, Interior Designer",Design,2+ years,5,4,4,5,5,10,“Love Asana for all my small business needs!”,Overall: I love using Asana and I love being able to collaborate with my team and assign tasks when I need to. It makes it easy to track everything and stay on track for projects.,22/9/2020,Pros: I love all the capabilities that this software has. I switched from Trello for all the comprehensive abilities it has. I only use to free version but am ready to purchase the premium because I think its so worth it especially if you have large teams your managing,"Cons: Learning how to organize things. At first, because there are so many boards, lists, and tasks it can be overwhelming. Especially for new employees that don't understand."
531,531 Asana,Asana,Aman D.,IT Analyst,Non-Profit Organization Management,2+ years,5,4,5,,5,9,“A handy project management tool to manage all sorts of projects”,Overall: The experience so far has been good specially when compared to MS projects. I believe project management tools still have a long way to go with advancement in AI.,22/9/2020,Pros: The thing that I most like about this software is its integration to other applications such as MS Teams. Multiple templates can be set up for different types of projects to save on time. The tasks are easy to add and modify.,"Cons: The interface can get confusing specially when there are a lot of projects. Even though the application is integrated with other apps, any modification opens up the application in a separate browser instead of the ability to make the changes within another app."
532,532 Asana,Asana,Verified Reviewer,,Biotechnology,2+ years,5,5,5,,,10,“Best task and project management app/platform”,"Overall: Favorite task management and project management tool for its ease of use, low learning curve to get started, but lots of features to help organize projects and team members and resources",23/7/2020,"Pros: Easy to get started and nice UI. Easy to create new tasks and organize into sub-tasks or projects Easy to include new members and people outside your organization Easy to drag all types of documents into each task Can view tasks and projects in variety of formats like kanban cards, timeline, checklist Provides a great high-level view of projects Lots of new features Can create various projects for a larger project Integrates with a variety of time tracking tools, email, Gantt charts, etc.",Cons: Lack of technical documentation with their API Different tiers of integration Microsoft Teams plug-in is slow
533,533 Asana,Asana,Amanda v.,Owner,E-Learning,2+ years,5,5,5,5,5,10,“BEST Planning Tool I've EVER Used!”,"Overall: LOVE IT! Just honestly LOVE it! It makes me feel more in control of my businesses. I feel like my head is finally screwed on again, instead of floating all over the place trying desperately to remember which tasks to work on next. It's the best planning system I've ever found. I'm so very grateful. Thank-you from the bottom of my heart.",21/7/2020,"Pros: I love how Asana makes my planningn so tidy and easy to use and sort! I love how I can have different categories in one system, so I can actually plan multiple businesses in one account without having to log out and back in again. I love how I can set each one up so that I have different stages of my planning that are really easy to follow and adjust and share with whoever I need to help me on a different task. I use columns so I can go from idea stage, to planning, to recording, to editing, to publishing, to promoting my YouTube videos, for example. As I go through each stage, I can mark it complete and move it to the next step so easily. It saves me an office full of random post-it notes","Cons: Nothing really! Again, my office is so much tidier now and my work flow is just so much more organized and efficient now. I honestly can't think of any possible improvements."
534,534 Asana,Asana,Madeline M.,Digital Media Planner,Marketing and Advertising,2+ years,5,4,5,5,5,9,“Makes Sure I Get Everything Done On Time”,Overall:,20/2/2020,"Pros: I honestly love using Asana! It's so detailed, every task and subtask for the day is laid out. It's easy to pass tasks over to other people, it's easy to make notes and attach files when necessary, and it's really easy to add your own fields like ""hours the task will take"" so you have a better picture of how much work you have ahead of you for the day/week and can plan accordingly.","Cons: Because it is so detailed, when task has to be pushed back, there's a ripple effect across the other tasks that then need to be pushed back too. So it takes some project management time to make these types of adjustments. For us, if something had to be pushed back, there were at least 5-10 following tasks we'd have to go in and adjust. If you have to do this a lot, the time adds up."
535,535 Asana,Asana,Verified Reviewer,,Design,2+ years,5,5,5,,,10,“Great Features”,Overall: I love Asana! I will surelly recommend it to my friends. This is really a big help to our company! I love the features and the interface.,7/2/2020,Pros: I have tons of task to do at work. What I like about Asana is that I can sort my task and it's easier for me to know what's my priority task. I can easily assign tasks to my team members too.,Cons: I cannot think of anything at the moment. I tries different kind of software and so far this is my favorite!
536,536 Asana,Asana,Tanushree G.,Project Manager,Computer Software,2+ years,5,4,5,5,4,9,“Coolest task management Tool”,Overall: I would rate my overall experience with Asana to be 8/10,6/1/2020,Pros: I really like the way boards are maintained inside of the individual projects in Asana. It is thus very easy to maintain tasks as per their status/owner/module/epic/etc. You can divide the tasks as per your own convenience.,Cons: Nothing as such. Every provided feature is good. I only wish to have some liberty in moving the order of tasks in a calendar.
537,537 Asana,Asana,Connor J. W.,Director of Growth,Internet,2+ years,5,5,4,3,5,10,"“Easy, works great, wish it had better analytics”",Overall: Great so far. No big complaints or concerns. Easy peasy.,6/12/2019,"Pros: - easy to use - customizable to your preferences (e.g. kanban vs. list, etc) - free up to a certain number of users","Cons: - I wish it had better analytics, tracking of people - no other complaints, does what it needs to do!"
538,538 Asana,Asana,Steve L.,Owner,Internet,2+ years,5,5,5,,,9,“Keeps Us Moving and Organized”,Overall: We are able to communicate and collaborate on tasks on our projects with ease. It's a great tool for managing both the tasks to manage my day and a great tool to measure the progress and direction of others on my team.,5/12/2019,"Pros: I like the fact that it's also a great communication feature for team members located in different parts of the country. It's easy to not only manage my personal daily work, but a great tool to allow others to see what I'm doing and contribute.","Cons: I had a period of time (months) where the software would run very slowly on my machine. Other teammates didn't experience the issue, but I would see the issue and have to leave the site/system and return in order to get the necessary response rate. Although the issue appears to have been corrected a few months ago and things work great now."
539,539 Asana,Asana,Verified Reviewer,,Management Consulting,2+ years,4,3,4,3,3,6,“Struggle to use Asana for multiple project teams”,Overall:,3/12/2019,Pros: Asana's user interface is really nice. It's easy enough to set up projects and to track them and to-dos throughout the projects. I started using it for one single project and then was adding on more projects and more users. I had different users for different projects and it started to get complicated. I liked Asana's accountability tracker and that I could share progress with external stakeholders (I.e. clients) without exposing all of our internal communication.,"Cons: Once it started to get complicated, I didn't find that Asana was great at handling the complexities. It was hard to differentiate what project I was looking at and how to add different users to different projects. While their interface is nice, their user experience could use some work."
540,540 Asana,Asana,Rebecca R.,Software Development Engineer,Information Technology and Services,2+ years,5,4,4,4,4,10,“Adequate software to carry out the work and the management of projects in teams”,"Overall: I love that this software has been implemented since it is really customizable and it is very useful for us to be able to carry out our tasks in a much more organized way and with a fairly fair workflow for everyone, which helps to make project management really scalable.",25/8/2019,"Pros: Asana has a lot of aspects that make me very attractive, since it has a really intuitive and visually pleasing control panel so navigating through it is not complicated, so it is easy to assign tasks or subtasks and until exchanging files so that moving forward in a project is much easier because we can work as a team and if any change is made we can visualize it all thanks to the fact that there are notifications that spell out this function, it is also possible to observe everything more graphically because We also have a calendar available, this is how using Asana helps both personally and corporately because managing projects is really easy with her.",Cons: Asana usually sends many emails so instead of becoming nice it becomes somewhat suffocating so it would be nice if this is only when important changes are made.
541,541 Asana,Asana,Maria Lenin L.,Business Development,Marketing and Advertising,2+ years,4,4,5,4,,9,“Task Management Made Easy”,,20/7/2019,,"Cons: So far I am really liking this software. I use it everyday and we collaborate through Asana. No errors, no hanging, all links work perfectly fine. I am definitely to recommend this."
542,542 Asana,Asana,Charlotte D.,Digital Researcher,Leisure,2+ years,4,3,5,,,6,“Overcomplicated”,"Overall: It's useful to work with colleagues on tasks and to view what you need to do. We use it for project management, setting deadlines and writing descriptions of each task. We can also view on the calendar what is happening when, or tasks for certain months. We mark when tasks are completed and it shows us when things have gone over their deadline.",10/7/2019,"Pros: Every feature works very well. You can create, manage and view tasks (with details, deadlines and descriptions) and is super easy to collaborate with colleagues - assigning them tasks and receiving live updates of edits and additions to each task.","Cons: It is overcomplicated. There are too many options, too many lists, it can be quite overwhelming when you have a lot to do. Aesthetically it needs to be re-designed - things are easy to miss because at first glance it is too confusing."
543,543 Asana,Asana,Felippe F.,BI Analyst,Education Management,2+ years,5,5,4,,4,10,“Organize your work and do more with your team”,,16/6/2019,,"Cons: Nothing about usage, really! The paid plan sounded expensive, so we kept for life with the free (but robust) solution. If you have the budget, though, do not think twice"
544,544 Asana,Asana,Sean D.,Partner / COO,Sporting Goods,2+ years,5,5,5,5,5,10,“I Recommend Asana daily to others!”,,8/6/2019,,"Cons: The My Task view would be nice to have the ability to save preset displays. For example all my tasks due today and tomorrow only, to keep my focus and view of tasks clean. Then to save a view of my tasks for the next 7 days and the next 30 days. And then all overdue tasks. To me this is helpful to get a fast snapshot of what's due and past due."
545,545 Asana,Asana,Julien E.,Executive Assistant,Marketing and Advertising,2+ years,5,5,5,5,5,10,“One of the best task manager I've used so far”,"Overall: I've been using asana for more than a year now and it helped me a lot with projects and tasks that I've been working on with my clients. The features are super handy, easy-to-use, integrable to other software (like zapier). I'm still using asana and will definitely stick to it for a long time.",26/4/2019,"Pros: What I like the most with Asana is its multipurpose use. Aside from being able to add tasks and projects, it has its own calendar giving you a preview of what you need to do in a week or month. Aside from that, it has the ""File"" tab where you're able to save files associated with any tasks you are working on. I also love how Asana sorts tasks as Today, Due Soon, or In a week. Helps me set my mindset on what is the priority.","Cons: There's really nothing much I hate about this software. Maybe just the delay when you are completing a task. I usually have to wait for the unicorn to disappear before I close the tab where I use asana (or else, the task I tagged as completed stay due)"
546,546 Asana,Asana,Verified Reviewer,,Medical Devices,2+ years,5,5,5,,,10,“Great for personal and workplace project management”,"Overall: We are able to collaborate on projects between departments and know what part of the project each person is at without having to check in with each other so much, which saves time overall.",16/1/2019,"Pros: I like how easy it is to create tasks, groups, and assign those tasks. I love that you can look at each project as a task list or easily switch to the calendar view and even add things to boards like Trello. Overall, considering that I'm only using this as a free program the value is amazing.","Cons: I think there isn't much I don't like. The features are little overkill if you're a new user or just need this for simple task management like a to-do list, but if you're looking for robust project management, this is really the best app for that purpose, especially in a creative workplace or new business."
547,547 Asana,Asana,Kaitlin T.,Yoga Instructor,Real Estate,2+ years,5,5,5,5,5,10,“I love it as an office manager!”,,15/1/2019,,"Cons: Hmmm, the cons are harder for me to think of. I guess I would like to see a ""chat"" option within asana. And maybe even a ""live"" version would be cool. (similar to google docs, the way you can see the other person typing live.) Otherwise, I don't have a whole lot of negative things to say"
548,548 Asana,Asana,Verified Reviewer,,Commercial Real Estate,2+ years,4,4,4,1,3,9,“Interesting Tool”,Overall: My overall experience with Asana has been positive and I would recommend as a starting project management tool.,28/11/2018,"Pros: What I like most about this tool is that you can create projects and assign them while setting deadlines. Further, they recently changed the previously useless Home section which now acts as a dashboard. However, something is wrong with their algorithm as it has as my ""favorite"" the project I least access. Odd. Also, they offer a pretty decent tool at the basic level.","Cons: What I like least about this software is that it doesn't let me easily find the tasks assigned to a specific team member. I actually have to go to a project and click on the team member. It should be made accessible to the Admin through the Home page/dashboard. Also, the threads can sometimes be a bit of a mess with the most recent posts being at the end of the thread so you have to scroll down instead of them being at the top so you can see where you are now. I don't really see the benefit to their Premium tool. I had the Premium level and had no real increase in efficiency or capability that made a difference."
549,549 Asana,Asana,Ben C.,Digital Marketing Manager,Entertainment,2+ years,5,5,5,5,5,10,“I LOVE asana - wonderful project management platform”,Overall: Fantastic task and project management tool. We utilize it for managing art requests and love it.,20/11/2018,"Pros: I love how effectively asana helps you to keep complex projects in a simple and easy to edit to-do list. We primarily use asana to create and manage our design projects back-and-forth (requests for design, designers first drafts, approvals, and delivery), and the ability to assign tasks and manage them on a timeline is extremely helpful.","Cons: adding increasingly complex tasks can be a bit much for asana's display. you can ad dub-tasks within subtasks if you want to, but it's clearly not defigned to go that ""deep"" within a single ""task"". this can be addressed by entering your tasks under a larger ""project"" but might not suit everyones preferred working style."
550,550 Asana,Asana,Sarah Bernardina B.,Owner,Information Services,2+ years,5,5,5,5,4,10,“Best Project Management Tool”,Overall: This is what we used in our team to monitor all the projects we have on hand. Its very helpful to us to keep each and everyone moving forward.,6/11/2018,"Pros: It is so very easy to use. It's quick to add new tasks and sections. The integration with Slack is also very nice because we could create tasks in slack and it reflects directly on Asana. The calendar view is also good, assigning the tasks and dates are also very helpful on dealing with the tasks. The additional fields are also very useful to extend whatever extra information is needed with the Project. The dependency feature is also very very helpful. Our team really liked it because we able to monitor the tasks we have for the Project.","Cons: So far, the only the thing that I encounter is when assigning a task to the same person. We needed to split the tasks or duplicate it just to make sure that the task should be done by both. But overall, for our team we 100% utilizing it."
551,551 Asana,Asana,Thamara P.,Gerente de desarrollo de aplicaciones y servicio al cliente,Telecommunications,2+ years,5,5,4,4,3,7,“ Agile project management”,"Overall:  It has allowed us to improve communication management during projects. As well as, having a site with the shared elements for the development of the project. All the development and infrastructure team are as users of this tool, in the particular management of each area and in the synergy of these",13/8/2018,"Pros:  In agile projects it is essential to have a tool adjusted to the needs of immediate communication, this is why Assana allows: - * Add activities and estimated duration times - * dashboard project summary - * visualize the activities assigned to the user or others. depending on the role of each user within the panel - * traceability of the project: between the ounicación and sent elements - * Add labels according to status -*Easy to use - * attach elements as evidence of any information These have been the most favorable points in my use of the tool, Assana","Cons:  In assana it would be of added value to allow the printing of progress reports, as well as calendar. This allows us to deliver reports to sponsors and involuntary projects. To be able to integrate this tool with other applications such as a variety of repositories"
552,552 Asana,Asana,karan v.,Senior Software Developer,Computer Software,2+ years,4,4,4,5,4,8,“A great tool for managing of tasks for small teams”,Overall: We used it for task management and project management in our daily needs. It created great workflow for our company where we can easily assign tasks to everyone. It helped to keep track of development.,8/8/2018,"Pros: All the problems are planned in detail with the help of Asana. Everyone loves the joint tasks, which can be put into small sections and have their own tags which you want it to have. You can easily invite more people to work on your projects by using the email. With many access levels for the employees working on same project, Asana is simply great. We can manage our time properly and transfer small tasks scheduling days with simple by drag and drop option. It helps in keeping the projects on track. The help team of Asana is always so ready to help customers.","Cons: I would like more faster behaviour in Asana, also we can have more functionalities in the android application. We need to have more third party integrations with Asana."
553,553 Asana,Asana,Pablo v.,Executive Director,51-200 employees,2+ years,5,3,4,5,3,9,"“I love asana, however is not as intuitive as it could be”",Overall: Tracking and organizing todos across all company and even for external providers,5/4/2018,"Pros: Create and assign todos is simple and fast You can assign assign todos to external collaborators You can create sub-tasks (really helpful for managing projects) Although board view is not as simple and intuitive as trelli, it is great to have this feature Can exactly define who has access to which task in your team","Cons: - Navigation among projects, I am member of many projects, sometimes I waste time looking for a project - Inbox: I receive update of every change of every todo I am involved, even as a follower, so I ose the overview of what is really important to me - I need to use a different tool for OKRs, it is no a fault is a wish, It would be great to have OKrs as well in Asana"
554,554 Asana,Asana,Rabeah A.,Lead Web Developer,Unspecified,2+ years,5,5,5,5,5,10,“The central hub for our in-house project management”,"Overall: It keeps our marketing team and development team in sync with one another, and helps keep us on track with completing tasks on time for our clients.",20/2/2018,"Pros: After going through multiple pieces of project management software, our company of about 10 settled on asana to keep track of tasks. It gives us the flexibility to oversee the project from a macro and micro level clearly, which is great for keeping managers and developers/designers on the same page. In addition to that, app integration with Slack, Zapier, and Google Drive make communication and file management a breeze, and Zapier helps automate a few things within asana and google drive. Also really enjoyed the built-in time tracking, which helps make sure that deliverables are completed within a reasonable timeframe. There is also a mobile app and calendar integration to make sure that even on the go, you are aware of whats on your schedule.","Cons: I wish there was a way to customize the interface a bit more. I use the app daily, and the intense white background can be a bit much. A dark UI option would be fantastic."
555,555 Asana,Asana,Donyelle K.,Online Account Executive,Unspecified,2+ years,4,5,4,5,4,10,“Makes staying on task and working as a team easy!”,Overall: Team accountability. Organization of work. Collaborative abilities among our team. Ability to track work hours and integrate easily with our log system.,29/12/2017,Pros: Being able to add multiple team members to tasks to keep everyone updated on status and responsibilities is awesome! Having the ability to set deadlines and view other team members tasks is a great way to keep everyone accountable to the work we are delivering. I also love that we can share documents and it easily integrates with our time logging software to keep track of our work hours.,"Cons: Often times if I'm tagged in task that needs my attention it can get lost if I'm not constantly searching my inbox or if it's not directly assigned to me. If you are an individual or team with a lot of work going on it's hard to seek these out immediately. However, the email notifications I get from Asana when something is in my court help to sort through these making this not as much of a software flaw but user flaw."
556,556 Asana,Asana,Verified Reviewer,,Professional Training & Coaching,2+ years,5,5,5,,,10,“Great 'To-Do' List for Teams”,Overall: It's a great tool for keeping up and interacting with team projects. It's very powerful with what all it can do. It may be too much for some teams or an individual just looking to keep track of daily tasks.,28/10/2017,"Pros: I first discovered Asana years ago when working on a team with several projects going on all at once. It's a great tool to see all projects at once, assign specific team members to a task, set due dates, reminders, and so much more. You can comment or ask questions within a task. You can see when an item was completed, notes, and everything in between. When I moved to a different company, they were usin Excel spreadsheet to keep up with tasks and I suggested we use Asana instead. As someone who loves task lists and being able to check off items off a to-do list, this is a great tool.",
557,557 Asana,Asana,Chris F.,"Regional Facility Manager, IT & Marketing",Sports,2+ years,5,5,4,5,3,10,“A game changer for any company”,"Overall: Asana has been a game changer for our company. We coordinate many levels of staff over multiple locations, and use the software as a primary communication and project management tool. It has allowed us to work closely with our entire management staff on a daily basis without the need for scheduling meetings, time consuming conference calls, or commuting across the city. We also use it to manage and track staff duties at each location. Everyone who has used the software has loved it.",10/11/2016,"Pros: Ability to communicate and coordinate projects, tasks, and follow-up.","Cons: Some ""wish list"" features, being able to assign multiple people to a single task, more options for repeating tasks and sub-tasks, task trees that would clearly show sub-tasks in multiple depths at once, Google calendar integration, etc."
558,558 Asana,Asana,Brandi B.,Art Director,Internet,2+ years,5,4,4,5,5,10,“Asana for Indispensable Task & Project Management”,"Overall: I use Asana every day and it keeps me sane! I use it for my general daily to-do list, but also higher level business (and personal!) plans and projects. For the daily tasks, the recurring task feature is brilliant and easy to use. I have things in there that recur only once per year, I'd totally forget about them if it weren't for Asana! I keep things grouped in different teams and projects. I am able to color code these teams/projects in such a way that when I view my tasks on a global calendar, I can easily see what I have going on, with the clear visual color cues. It's a wonderful tool for mapping out a large project and then breaking it down into components and tasks that can be spread out over time and across various team members. I am able to brain dump everything I can think of easily, then sort the tasks in ways that make it approachable. I've been using Asana for just over a year, and I can't imagine life without it. They keep adding new features and improving their service. I am very pleased.",3/11/2016,"Pros: They keep improving functionality. I love the recurring tasks, teams & projects, color coding, & custom labels.",Cons: The phone app could be improved.
559,559 Asana,Asana,David H.,Lead Marketing Programmer,Marketing and Advertising,2+ years,5,3,4,4,,8,“Great Tracking Tool for your tasks”,"Overall: Very good. I am learning things on Asana every week and if you keep things clean, you can make things easier for yourself. I like the templates that you can use for any tasks for different clients. You can also share the tasks with clients.",10/11/2020,Pros: Good tracking tool for tasks and to assign and reassign to others and to keep things organize with individuals and groups,"Cons: Can be a learning curve but the videos do help. Also, I am still wondering if there is a bulk feature on tasks that are similar that you can edit all at one time. Speaking of videos, the one of the people that made the videos had their opinion on a specific group. I rather if they focus more on the the product instead of showing their opinion in the background, keep it clean please."
560,560 Asana,Asana,Verified Reviewer,,Design,2+ years,4,4,4,,,7,“Great Project Management for a Remote Team”,"Overall: Our team works fully remote and project management is critical to our workflow. Asana helps us in those areas of the business. It is one of the webpages I open, and keep open, daily. Asana is where we get our assignments and also tick-off these projects to keep things well-organized.",5/11/2020,"Pros: What I like about Asana is the clear way of presenting future and on-going projects. As a fully remote team, project management is a key element in running our business. It helps us track what each individual is doing so we won't have overlaps in our duties. It is also beneficial in organizing bigger projects and then creating and assigning subtask for them.","Cons: I joined the team that was already fully running Asana and it took a bit of time for me to adjust to the workflow. But once I got the hang of it, it was easy and useful for me and the team."
561,561 Asana,Asana,Jessica R.,Co-Founder + Marketing Strategist,Marketing and Advertising,2+ years,5,5,5,,5,10,“Excellent Collaboration and Task/Project Management ”,Overall: It helped us create and assign tasks for ourselves and team members. Multiple project views are helpful. It's easy to bring in freelancers and assign/track tasks.,20/10/2020,"Pros: Asana is highly intuitive and easy to use. The built-in gamification features are amusing, but more importantly it's an excellent way to manage tasks, projects, and collaborate across teams.","Cons: Integration with our existing business processes was a challenge, but that was more the result of dysfunctional internal processes than an issue with Asana itself."
562,562 Asana,Asana,Verified Reviewer,,Marketing and Advertising,2+ years,4,4,4,4,5,9,“What every Team need to be efficient”,,4/8/2020,,Cons: Double assignment of tasks or duplicate task assignment
563,563 Asana,Asana,Michael S.,Owner,Graphic Design,2+ years,5,5,5,,5,10,“Keeping Productive with a Clean Design”,"Overall: I'm able to keep my business (along with multiple projects) all in check and moving forward, enabling me to get tangible products out faster.",22/7/2020,Pros: I love how clean the design is. It's nice to look at the tasks I have for the day or week in a manner that doesn't have me scrolling so much or doing a lot to gain access to a task. The templates for projects help immensely too.,Cons: Nothing as of yet. I moved to this software from a prior one and found this to be more superior for what I'm looking for in this type of product.
564,564 Asana,Asana,Verified Reviewer,,E-Learning,2+ years,4,4,4,4,4,7,"“A good task manager, but made for a specific type of management style”","Overall: We've been using it for years and years with no plan to switch over I'm a visual thinker so it hasn't been as intuitive for me, but it seems like a good, flexible product that's easy for most team members to use. While I personally prefer Trello, it isn't as universal as Asana is.",28/5/2020,"Pros: --Easy to apply a template for projects --Easy to add viewers/comments to a project --Little training needed to get set up --Users do not need to be ""power users"" in order to participate","Cons: --Unlimited nesting of sub-tasks gets confusing once you get a few layers in --Not made for more visual thinkers --Hard to visualize the project timeline --Being the project manager requires a bit of training --We've had to implement customizations to get options that seem like they should be custom (tagging in project roles, etc)."
565,565 Asana,Asana,Verified Reviewer,,Health,2+ years,5,5,5,,5,10,“Asana is the best project tracking software for small teams”,Overall: I LOVE using this to keep an eye on where my team is at any given time. Highly recommend,26/3/2020,Pros: The visuals and organization of this software are great. No detail is spared and it makes progress updates & tracking incredibly smooth.,"Cons: There's no IM option, which could help improve communication about a project. The ""comments"" section only sends notifications to your email and that gets messy."
566,566 Asana,Asana,Jake H.,CEO,Marketing and Advertising,2+ years,4,3,4,3,4,7,“Great Project Management Tool for Small to Medium-Sized Businesses”,Overall: We're currently not using Asana as much as we would like to because of the due date issue. It causes us a lot of unnecessary work that can be rudimentarily covered by a Google doc with our small agency.,9/2/2020,"Pros: The layout of it made it easy to understand and see what projects needed to be accomplished and when. It was really easy to set up projects and tasks, even subtasks and add notes to each project.","Cons: There are two things. You can't use template projects in the free version and you can't set automatic project deadlines for duplicated projects or through templates. Typically our projects have a 30-45 day completion time limit. It would be nice to be able to create a project off of a specific template and have the due dates for each task auto-fill 'x' amount of days or weeks out. It can be quite a pain to update all due dates in all of your tasks and subtasks, especially if you have larger projects like website builds."
567,567 Asana,Asana,Greg R.,Ux Designer,Design,2+ years,4,4,4,,,8,“Works Great”,Overall: We used multiple other systems before deciding on Asana. We have been satisfied with it ever since.,6/2/2020,Pros: Great interface. Easy to Use. Various task views. I am able to manage all of the tasks assigned to me easily.,Cons: I am not able to set a project view based on what I prefer. It is always the same for the whole team. If I like list view and someone likes board view then we are out of luck.
568,568 Asana,Asana,Sander B.,CEO,Marketing and Advertising,2+ years,5,5,5,5,5,10,“Trust me...this software can save your life...”,Overall: We needed to get control of our global business and how it is run in spanning 13 and a half time-zones. Mission accomplished,4/2/2020,"Pros: I didn't really understand why we started to use Asana, but over time it became clear. Asana cleaned up my inbox and reduced the number of meetings and requests from my team significantly. I felt a greater sense of control in my life and business. Thanks, Asana","Cons: Not the best onboarding or marketing. You don't know why you need this until you do. Their NY Times half page ad was obtuse, such is the life of a Venture driven software company. I hope they stay in business, but they could really use me to help explain to prospects why they need this stuff and not a bunch of Dev engineers who are largely marginalized at startups."
569,569 Asana,Asana,Lana L.,Senior Community Manager and Strategist,Online Media,2+ years,5,5,5,5,5,10,“Can't Live Without It”,"Overall: I use it for everything in my life - business and personal. It especially comes in handy for due dates, reminders, etc. I can't imagine using any other product other than Asana.",3/2/2020,"Pros: As a community manager and strategist and sole contributor, having a robust task tracker is essential so that I can be successful at my job. What I like most about this software is that it connects with my Google Drive so that I can access my documents quickly and I can also sub-categorize my tasks.","Cons: The mobile version is still not as useful to me as the desktop version, but that's a minimal pain point since I'm usually working on my desktop."
570,570 Asana,Asana,Ramiro O.,Technology Consultant,E-Learning,2+ years,4,3,3,4,4,8,“Asana for Teams”,Overall: I use Asana daily with a team and I am able to keep track of all the numerous tasks that have been assigned to team members. I'm able to see deadlines and check-in's on important and priority tasks.,17/1/2020,Pros: Helps assign projects and tasks to employees with deadlines and check-ins. Easily add to your team and keep track of efficiency.,"Cons: Asana is very good software, but would be more effective if there was more control over how you enter team members and follow up editing."
571,571 Asana,Asana,Charlotte C.,CTO,Recreational Facilities and Services,2+ years,5,5,5,5,5,10,“Team Unicorn”,,23/12/2019,,Cons: I can't see what my team is currently working on. The board is structured as either to-do or done and not as in progress. Integrated time management (not harvest) would also be great.
572,572 Asana,Asana,Verified Reviewer,,Professional Training & Coaching,2+ years,5,5,5,,,9,“Robust Project Management Tool”,Overall: One my favorite project management tools and it keeps getting better as they add new features all the time.,16/12/2019,"Pros: Easy to use tool for various types of projects. Whether it's a simple checklist or kanban style, there are options to use whichever one for different projects.",Cons: Many great features that are offered but can be quite overwhelming when you first start setting up a project. One of the pains I've encountered is that you can't quickly and easily see all of your completed tasks in one spot along with the task yet to be completed.
573,573 Asana,Asana,Melissa C.,Career coach,Professional Training & Coaching,2+ years,4,4,4,4,4,8,“This is the best project management app”,Overall: It's been great I actually love the product. It's defiantly going to help myself and staff get organized,3/12/2019,Pros: I love that I can share tasks with my team and toggle back and forth their assigned tasks without having it block my own calendar,Cons: I wish there was away to have a task with more text for specific posts
574,574 Asana,Asana,Mary W.,Director of Foundation Relations,Higher Education,2+ years,4,4,4,,,8,“Effective Task Reminder”,,18/11/2019,,"Cons: There is some workplace psychology that goes into this software, and it can feel overwhelming or make you feel guilty if you don't accomplish everything that you intended to in a single day. It would be helpful if this software made changing deadlines more guilt free by suggesting new deadlines around the end of the workday."
575,575 Asana,Asana,Aaron W.,Consultant,Non-Profit Organization Management,2+ years,5,5,4,5,5,9,“Asana will help your team get results”,Overall: Asana has been critical to keeping our team on track and getting things done.,12/9/2019,Pros: I use this software daily with multiple clients. It works great on desktop and with the mobile app. Can't really complain because we are using the free version,"Cons: The functionality can be intimidating to the everyday user, but it's a powerful software which can be customized many ways to maximize your workflow."
576,576 Asana,Asana,Meliksah T.,Engineer,Consumer Electronics,2+ years,4,4,5,3,4,8,“Fine project management sofware that you can manage tasks in a hierarchical structure”,"Overall: We are relatively a small engineering team that does R&D for Production. We have a lot of projects to keep track of, most of which we outsource. Since they are numerous, we needed an app the manage all the tasks. We started using Asana and we're content so far. It offers good UI and performance, as well as sub-tasks management and most importantly perhaps, the Gannt scheme.",6/9/2019,Pros: - Good UI - Ability to create and manage sub-tasks in hierarchical way - Way of communication it enables between teammates - A well designed Gannt scheme - Cost efficient,Cons: Only con that I can think of is that everyone can assign tasks to everyone and everyone is able to close these tasks. Perhaps it would be better for only the project manager to close a task after checking whether the task is actually and accurately completed or not.
577,577 Asana,Asana,Alainna B.,Program Manager,Political Organization,2+ years,5,3,5,,,9,"“Out with the old, in with Asana”","Overall: Asana comes in handy every day at our organization, where many people plug in on different projects at their own pace.",29/7/2019,"Pros: Asana was a clear choice for us when we decided to move on from our previous task management software. Rather than giving only the option to create individual, simplistic tasks, Asana presents a world of opportunities with creating entire projects, within which individual tasks can be assigned to people across all sections of our team. The functionality is top notch, for any need that arises.","Cons: There was definitely a learning curve, and folks from the team were more comfortable with our former task management software, so the switch wasn't easy. The sheer amount of capabilities that Asana has is definitely a positive thing, but take care to educate the entire team as much as possible to eliminate the learning curve."
578,578 Asana,Asana,Verified Reviewer,,Information Technology and Services,2+ years,5,5,5,5,5,10,“Excellent project managment tool”,"Overall: I've been using this software for years and it's one of the best project management tools out there. The main feature I like is that you can have multiple workspaces that have multiple projects, that have multiple tasks, that can have multiple sub tasks.",5/5/2019,"Pros: This software is free and easy to use. You can have multiple Workspaces and projects inside those work spaces and then tasks, giving you many ways to organise your work and projects. It's simple to use and has a web interface or mobile app.",Cons: The mobile app can be a little hard to navigate for advanced features but works fine for tasks and project work.
