General_ID,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Data_Recensione,Commenti,Vantaggi,Svantaggi
1207 Go_To_Meeting,Go_To_Meeting,Dan B.,Support,Servizi e tecnologie dell'informazione,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,4 /5,8/10,GoToMeeting,11/12/2019,"This is a good product, its been in the marketplace for quite some time now. With many of our business partners, this is the defacto go-to product when doing presentations. Easy to use and set-up, great for quick presentations, especially if you need to get on the line or view something quickly.","I have one complaint, it hasn't happened often, but on a few occasions we were not able to get the product to work correctly, and unfortunately, it was when we needed to do a presentation to a client, not good.",It needs the ability to stream videos and make the audio more readily available than the process required now that requires 2 computers. The ability to paste pictures in the group chat would be a game changer as well. Those are 2 huge factors for me. It would be good to have a hand raising feature when someone in a large group would like to be addressed much like in zoom where it focuses on that person when their voice is heard.
1208 Go_To_Meeting,Go_To_Meeting,Jennifer M.,Partner,Marketing e pubblicità ,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Great for Virtual Meetings,4/12/2018,"We have used a number of apps t facilitate virtual meetings for our organizations and I have found GoToMeeting to be the best solution. The interface is nice and clean, the video quality is great, very little lag. Overall best quality solution for virtual consulting assignments and virtual group and individual meetings.",The only con I can think of is that sometimes the app has trouble recognizing an external camera we have set up but I would think that might be an issue with the camera (specifically the age of the camera) than anything else.,It needs the ability to stream videos and make the audio more readily available than the process required now that requires 2 computers. The ability to paste pictures in the group chat would be a game changer as well. Those are 2 huge factors for me. It would be good to have a hand raising feature when someone in a large group would like to be addressed much like in zoom where it focuses on that person when their voice is heard.
1209 Go_To_Meeting,Go_To_Meeting,Josue Z.,Marketing Associate,Marketing e pubblicità ,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,"No matter where, always learning",17/1/2019,"I think its an elemental tool to stay connected. Everything changes so fast around the world , that we need to be up to date, and i think this is a key tool that connects fast and is able to provide this function; connect.","I'd like the way how it connects easily with other piers around the world. In manner of minutes, you can be the presenter or the viewer. It has a friendly user chat to inform or ask questions within the group. Audio is very good as well.","If using a double or more screens computer, sometimes its difficult to show the screen you want."
1210 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Marketing Programs,Telecomunicazioni,Più di 1 anno,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Solid Webinar Tool,7/6/2018,"It's pretty straightforward when you're setting up your meeting. It tells you all the information that's required and optional items as well. Once it's setup and launched, you can see everyone who has signed up so you can keep count! You had the option to send a reminder before the meeting starts and can send it out afterward if you record it.","Sometimes the volume is a little off -- I've noticed that if you have two people in different locations, one sounds louder and the other person does not. I'm not sure if it has to do with volume settings or other settings but if you record it and listen back, you'll notice what I'm talking about. Regardless, it's a great, easy-to-use tool that serves its function!","If using a double or more screens computer, sometimes its difficult to show the screen you want."
1211 Go_To_Meeting,Go_To_Meeting,Preet C.,Entrepreneur,Consulenza manageriale,1-5 mesi,5 /5,5 /5,4 /5,5 /5,4 /5,10/10,Best Business Meeting Platform to Host Business Meetings,26/4/2020,"Overall I highly recommended to businessmen who are dealing internationally to use this platform or service for hosting their business meeting, I am damn sure it will save your time, money and increase your business productivity.",When I am hosting a meeting in the GoToMeeting platform it allows me some cool features mentioned below:,When I am hosting a meeting in the GoToMeeting platform it allows me some bad or restriction features mentioned below:
1212 Go_To_Meeting,Go_To_Meeting,Arvin D.,Manager O&M,Industria edilizia,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Good Virtual Meeting tool,24/9/2020,"Iâ€™m my experience , this has been a good and reliable tool. It might benefit from some more intuitive features.","Iâ€™m my experience, GoToMeeting has been consistent in the services it provides. The product is reliable and has some solid basic tools available to the organizer and attendees of virtual meetings.","Sharing control of presentations amongst attendees seems to be not very intuitive. Unavoidably, I always seem to find myself in a meeting Iâ€™m which someone is explaining to someone else how to take control and give control back."
1213 Go_To_Meeting,Go_To_Meeting,Jennifer E.,Medical Receptionist,Studi medici,Più di 2 anni,5 /5,5 /5,4 /5,3 /5,5 /5,10/10,Makes company meetings a breeze!,5/9/2019,"WOW this software has changed the way our company gathers together. With 11 offices in different areas of Central Florida, gathering over 200 employees became hectic and super irritating and inconvient for employees whom have to drive a great distance.","Goodbye driving to meetings, and hello convenient meetings! Software is easy to use for everyone! You can choose to phone meetings, video meetings, screen share, its all there for you and your company! This truly has changed the way meetings are held!",Video sometimes freezes but overall it has great quality!
1214 Go_To_Meeting,Go_To_Meeting,Sushma G.,Business Analyst,Servizi e tecnologie dell'informazione,Più di 1 anno,4 /5,5 /5,4 /5,3 /5,4 /5,4/10,its a good product but there is room for improvement,14/4/2019,"Its good option for audio video conference with external parties for a reasonable price, but could do a lot better from voice quality","1. UI is intutive
2. Screensharing and recording the session is very easy even with external parties.","1. It could be specific to the Internet speed our company has got, but the voice clarity is terrible at at times, particularly if the speaker is taking with speaker on mode. Background noise cancellation DOES NOT exist!!
2. At times there is a lag in the voice / screen transfer - again might have been something to do with our network, but we have rarely seen any such lags in voice / screenshare transfers in Lync, so feel there is definitely room for improvement there."
1215 Go_To_Meeting,Go_To_Meeting,Dorothy P.,Graphic Designer,Graphic Design,6-12 mesi,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,5/10,Good for Presentations,6/8/2019,My overall experience with GoToMeeting was good. It was an easy way to share information with clients.,"What I like about GoToMeeting is that you can schedule a meeting, and have everyone invited so they know the date/time etc. It's also a great way to set meetings for presentations. For example, if you are working on a branding project, you can set periodic update meetings to present the materials so far and get live feedback from the team. If your client is out of state, you can easily set a meeting to share and update them on projects.","The only thing I didn't like about the software is that it constantly downloaded new versions of itself instead of overwriting with the updated software. I can open my applications folder and see 7 different versions of the software right now, which is odd. It should just overwrite itself like most applications do when they update."
1216 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Project Manager,Sviluppo di programmi,Più di 2 anni,4 /5,5 /5,4 /5,5 /5,4 /5,8/10,Solid Meeting Product,8/5/2019,It has been a useful tool for company meeting. We rarely have any issues.,"Go to Meeting is easy to use. I like that they offer the ability to use a conference number to call in, or your computer. I also like how you can record meetings to reference in the future.","I have had experience with audio difficulties and getting the through computer audio to work correctly. When testing, I recorded meetings and our audio was captured, but I could not here other participants. I could only hear when calling the provided conference line."
1217 Go_To_Meeting,Go_To_Meeting,Sunny S.,Application Engineer,Software informatici,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,8/10,A best tool to have online meetings in your offices,12/8/2019,You can easily create the meetings with your distant colleagues and clients. Easy to use.,Sometime it asks for chrome plugins. Is it necessary to have that plugin?,"I have had experience with audio difficulties and getting the through computer audio to work correctly. When testing, I recorded meetings and our audio was captured, but I could not here other participants. I could only hear when calling the provided conference line."
1218 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Technical Lead,Software informatici,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,Nessuna recensione,8/10,Good tool for meetings,30/7/2019,It's a good meeting software,Easy to use in both system as well as mobile devices. Sound quality is good.,Sometimes voice losses on mobile when ther is change in networks
1219 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Dir Eng,Settore automobilistico,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,3 /5,5/10,Decent Conferencing Software,18/7/2019,We used it initially as our videoconferencing solution but decided later to switch to a competing product.,"GoToMeeting integrates well with scheduling applications (Outlook, Google) and makes the process of scheduling meetings easy. The solution works well enough.",Setup is often not as flawless as other products and the client needs to be downloaded when there's an update. For Mac it has a standalone launcher and is not integrated as easily.
1220 Go_To_Meeting,Go_To_Meeting,Vazgen B.,Product Manager,Servizi e tecnologie dell'informazione,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Very convenient tool for meetings!,19/5/2017,"Recordings to return to the meetings later on and review those.
Great integrations with Google Calendar and Calendly
Easy call setup/control","Ability to record the calls to return to them later on. Screen Sharing capabilities are great, as well as the ability to mute others. A lot of convenient features, great performance, screen recording, integrations etc.!",Setup is often not as flawless as other products and the client needs to be downloaded when there's an update. For Mac it has a standalone launcher and is not integrated as easily.
1221 Go_To_Meeting,Go_To_Meeting,Rahul K.,senior executive,Assicurazioni,6-12 mesi,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,9/10,One of the best software to take remore session,22/9/2018,"I have to use it on daily basis to take remote sessions of my clients.
highly secured
You can join audio bridge any time in between the call. So now you do not have to worry about conferencing the other person and disturb the on going meeting.
Has Video conferencing feature as well along with Chat session.
Multiple persons can join the same session","You have to be prepared at least 15 minutes earlier as it takes time to download
Should have good connectivity.",Setup is often not as flawless as other products and the client needs to be downloaded when there's an update. For Mac it has a standalone launcher and is not integrated as easily.
1222 Go_To_Meeting,Go_To_Meeting,Lori R.,COO,Consulenza manageriale,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,3 /5,6/10,Great for our use,16/7/2019,best we have found,"Screen sharing, see each other, share control, use anywhere, phone or computer option","cuts out sometimes, echo that sometimes cannot be figured out"
1223 Go_To_Meeting,Go_To_Meeting,Julie C.,Support Specialist,Servizi e tecnologie dell'informazione,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Easy to use,5/12/2018,"It was easy to use. Whenever you are sending a meeting, it is easy to have multiple people join.",There really isn't anything in this software that I don't like.,"cuts out sometimes, echo that sometimes cannot be figured out"
1224 Go_To_Meeting,Go_To_Meeting,Keith G.,Kage and Sui generis,Biotecnologie,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,5 /5,10/10,A great tool in the new normal,16/4/2020,I need to meet with people every hour and this allows me to manage projects in a virtu world.,Being forced to gather teams for quick virtual meetings in the new normal is KEY and GoToMeeting is working great for these needs. It is easy to use and control and non-tech savvy people are easy to indoctrinate.,"The only con is when video conferencing, and sound on a mic switches to that sources video feed. Easily resolved by non-presenters muting their mic, but when discussing it gets a bit dizzying."
1225 Go_To_Meeting,Go_To_Meeting,Hamid G.,Founder,Marketing e pubblicità ,Più di 2 anni,3 /5,4 /5,4 /5,4 /5,2 /5,3/10,"Once Powerful, but now cumbersome",21/2/2019,"We've been using GoToMeeting since 2011, and while it has served our needs until now, there are better and more nimble tools available now.","At the time that we committed to using GoToMeeting, it provided a great value for the money, especially compared to WebEx (at the time the only other credible business digital conference tool). GoToMeeting was more platform friendly (Macintosh), provided great video, was easy to use, and (most importantly to us), its companion GoToWebinar system was robust. Also, the connector to Google Calendar to automatically create a meeting is very helpful.","The need for each caller to download an app, which is sometimes blocked by some corporate firewalls, creating delays in call start times. Also, as more of our work involved creation of films, video doesn't play seamlessly through the system with ease."
1226 Go_To_Meeting,Go_To_Meeting,Jacob C.,Director of Operations,Gestione formativa,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,5 /5,9/10,This is a great product for having online simple meetings.,22/2/2018,"For the right type and size of meetings, this is a great piece of software for communication efficiently over a distance. Just don't use it for too complex of meeting types.",This is very simple to use. This makes it a great product for simple meetings. Keep in mind that the connection quality is based on your own internet connection. That being said this does not require super connections to be effective. You can share powerpoints and other screen view options and they work fairly seemlessly. It is a great value as long as it used for the right type of meetings.,"The software is simple to use, which also means that the software is somewhat simple. For simple meetings and communication, it will work fine; however, for complex meetings that require lots of data and information to be shared and communicated back and forth in real time, this lacks some functionality for that level."
1227 Go_To_Meeting,Go_To_Meeting,Daniel C.,Managing Partner,Ristoranti,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Go To Work with GoToMeeting,3/12/2019,"Always had good experiences when using GoToMeeting. Its a great software for holding virtual meetings from anywhere on just about any device you have handy. We use it periodically to network with others and to ""sit down"" with prospective vendors wanting to work with us.",Easy to utilize and access across nearly all platforms and devices. Love that it has calendar integration as well.,"Very minor, and it could be on my end. But I've had problems losing audio connection in the past. Its usually temporary, and like I said it could be a connection issue on my end. Overall not much negative to say here."
1228 Go_To_Meeting,Go_To_Meeting,Greg P.,Editor,Editoria,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,10/10,Efficient Way to Do Business,10/8/2019,"Go to Meeting has a decent pricing plan that allows a small organization or pay a reasonable amount. The subscriptions offer more seats than needed, but unlimited time, video etc. during a meeting is a good feature.","A program that offers fewer seats at a lower monthly fee would be nice. Other than that, no other major drawbacks for our requirements.","Very minor, and it could be on my end. But I've had problems losing audio connection in the past. Its usually temporary, and like I said it could be a connection issue on my end. Overall not much negative to say here."
1229 Go_To_Meeting,Go_To_Meeting,Michael R.,Software Engineering Manager (Lightbox),Telecomunicazioni,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,"Does what it says it will do, and more",8/8/2017,It has become the default way to interact with offshore vendors and clients. We mainly use it for voice-conference calls but I've used it for video and screensharing as well.,"The only thing I dislike about GoToMeeting is that version upgrades do not overwrite the previously installed version, leaving me with more than one instance of GoToMeeting installed on my mac.","Very minor, and it could be on my end. But I've had problems losing audio connection in the past. Its usually temporary, and like I said it could be a connection issue on my end. Overall not much negative to say here."
1230 Go_To_Meeting,Go_To_Meeting,John c S.,General Manager,Servizi finanziari,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,5 /5,10/10,Great Training Tool,8/10/2020,"Go-To-Meeting has broadened our ability to provide and receive information in an efficient and effective manner. We now have the ability to train locally or nationally, this factor has helped us recruit agents from anywhere in the world, giving our H.R. department wings!","We are training a group of agents that are located off-shore. Go-To-Meeting was suggested as a tool to facilitate the training process. Once set up, which was very simple, we were able to conduct our training real-time without any noticeable delays (after tweaking several settings). The ability to record the ongoing training sessions allows both the instructors and the students to review the contents of the subject matter covered.","Initially, setting up the I.T. portion was a matter of trial and error. However, the implementation proved to be less challenging than originally thought."
1231 Go_To_Meeting,Go_To_Meeting,Darren T.,Building Services Manager,Industria edilizia,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,GoToMeeting as a collaberation tool,21/10/2019,Generally a positive experience with both audio and video quality being acceptable for the meeting purpose.,"Having the opportunity to connect with project team members remotely for design and coordination reviews of projects. GoToMeeting removes the ""location"" of each attendee from the equation allowing more members to attend.
Having the opportunity to dial in verbally only and or audio/video is good.","No negative comments on the software, it has met the requirements of our needs for the times we have used the software"
1232 Go_To_Meeting,Go_To_Meeting,Zakory B.,Account Executive,Software informatici,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,8/10,"Lots of options, great for international and always works!",6/2/2018,I love GTM! This software allows me to connect in a seamless fashion with my clients. I love how easy it is to use and setup with tons of options on the back end.,"Having the opportunity to connect with project team members remotely for design and coordination reviews of projects. GoToMeeting removes the ""location"" of each attendee from the equation allowing more members to attend.
Having the opportunity to dial in verbally only and or audio/video is good.","No negative comments on the software, it has met the requirements of our needs for the times we have used the software"
1233 Go_To_Meeting,Go_To_Meeting,Ryan B.,realtor,Proprietà  immobiliari,1-5 mesi,4 /5,5 /5,4 /5,Nessuna recensione,5 /5,10/10,Nice alternative,6/4/2020,"Overall, its something I will continue to use, as there were no issues with the actual operations of the platform.",I like that the platform is very attractive and easy to quickly start a conference,"While there are many conferencing apps, this one seems to be less recognized than skype or zoom."
1234 Go_To_Meeting,Go_To_Meeting,Claudio daniel C.,Aviation Safety Advisor,Trasporto aereo/Aviazione,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Ge great virtual meeting tool,22/2/2020,"It is a great, essential tool to always have available to perform online meetings.","Go to meeting is a great, cost effective tool to organize and deliver virtual meetings. It is really easy to use and you can show your screen (with an excellent image and audio quality) to enhance collaboration.","At the beginning, the installation, was not so straight forward, but the recent versions are much more intuitive and easier to use."
1235 Go_To_Meeting,Go_To_Meeting,Camille C.,Human Resources,Salute mentale,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Easy connection to my staff,27/8/2019,"Go to meeting is more than expected, pricing options and service amazing.",It is easy to connect all my staff using go meeting. We have multiple location and is easy for everyone to be together at the same time using go to meeting.,Every time I have any issue with connection I call the software assistant and I had go support.
1236 Go_To_Meeting,Go_To_Meeting,Alan O.,Growth marketing gun for hire,Software informatici,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,"Solid, enterprise level webinar software",19/3/2019,"I have run marketing webinars with a few hundred attendees and up to three presenters in different locations. GoToMeeting ran without any problems. Integration with sales and marketing software meant we could capture signups easily, do follow-ups and track leads down the funnel.","Great at handling a large number of registrations and attendees.
Good integrations with sales and marketing software.","The UI is a little old and clunky. Even though they have been updating it over the last few years.
As both a presenter and a user is can take a little longer to find the settings and controls you are looking for."
1237 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Vice President of Customer Service,Servizi finanziari,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,5 /5,3/10,Great Option vs. Meeting in Person,13/5/2019,The software is very easy to use and saves a lot of time and cost vs. meeting in person.,I have had no issues. The customer support has been very good.,"The UI is a little old and clunky. Even though they have been updating it over the last few years.
As both a presenter and a user is can take a little longer to find the settings and controls you are looking for."
1238 Go_To_Meeting,Go_To_Meeting,Edward C.,Managing Partner,Reti informatiche,Prova gratuita,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,9/10,Why GoToMeeting didn't make the cut.,4/12/2019,It was not what I would called smooth. Luckily we took advantage of the trial and quickly discovered that our clients and prospect did NOT like using it.,"Free trial. Lots of features. Above average name recognition. Versions available for smart phones, PCs and Macs.","Price, software kept creating issues when trying to install on a webinar participant's computer. Software was constantly asking to be reinstalled . Created drama with our prospective clients."
1239 Go_To_Meeting,Go_To_Meeting,Avinash G.,"Senior Associate, developer",Servizi e tecnologie dell'informazione,Più di 2 anni,4 /5,5 /5,4 /5,5 /5,4 /5,9/10,Review for Goto Meeting,26/5/2020,. I usually used this meeting tool to set up call with clients since skype and teams software are mostly used internal to our organization. Easier to control and share our screens during the client meetings.,Easier to setup call. I usually used this meeting tool to set up call with clients since skype and teams software are mostly used internal to our organization. Easier to control and share our screens during the client meetings.,User interface of this tool looks pretty much older and it takes bit of time in loading through meeting invite.
1240 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Project Manager,Servizi e tecnologie dell'informazione,Più di 1 anno,4 /5,5 /5,4 /5,Nessuna recensione,3 /5,10/10,Supporting customers,23/7/2019,"We use gotomeeting to connect with customers and assist them. It works well for our organization and doesn't require end users to open firewalls, etc.",The biggest downside of gotomeeting is the cost. Costs can add up quickly.,User interface of this tool looks pretty much older and it takes bit of time in loading through meeting invite.
1241 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Web Developer,Industria alberghiera,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,7/10,Gotomeeting is very useful.,11/2/2019,"We use this for our meetings, and this allows our remote team to stay in touch when simple text isn't enough.","I know that remote sessions are very iffy in general, as far as reliability. Gotomeeting seems to be the most reliable place to have these sessions. It seems as though their resolution of screencasting is also preferable to alternatives.","LIke with most platforms, I don't like how the quality tends to cut out right at the most required times, though I think that this occurs less with Gotomeeting than with others."
1243 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Software Developer,Gestione di organizzazioni non profit,Più di 1 anno,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,GoToMeeting does everything you expect in to do on a conference call,11/9/2019,"Overall, GoToMeeting is some of the most solid conference call software I've used.","Sharing screens was simple and mostly seamless. If you need to change who is presenting their screen, that's pretty easy as well. There are presenter controls for muting the audience and more! It was really nice to be able to use it for people both connecting with devices for the screen sharing, but also allowing people to call in and listen over the phone. Comments can be typed to the presenter as well. Scheduling meetings was a breeze, with each invitee getting a link and a phone number with a pass code, if they wanted to go that route.","The interface isn't terribly aesthetic. It's very simple and to the point, but doesn't look like a designer came up with the look. I found that most of our issues with this software came from internet connectivity issues, which would cut out or pause the video and/or audio of the presenter or viewer. This issue had no effect on those with good connectivity or connected via phone audio."
1244 Go_To_Meeting,Go_To_Meeting,Infant R.,Senior Software engineer,Servizi e tecnologie dell'informazione,Più di 1 anno,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,6/10,Easy to use. Crystal clear audio,5/5/2020,Able to conduct meeting in the lockdown time. Make everyday meeting easily.,"- Best audio quality
- Easy to share screen
- Can connect with 150+1 users at a time
- Schedule a meeting
- Customize color
- Passport protection","- Can't connect multiple meeting room in one time
- It is forcing me to install goto opener in my system"
1245 Go_To_Meeting,Go_To_Meeting,Luyan L.,Director,,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,3 /5,6/10,A very useful tool for conference calls among multiple parties,19/3/2018,Gotomeeting is very functional. It is a very useful tool for business conference calls. Multiple parties can call in. It also has call-in numbers for people abroad in various countries. The presentation tool is also good.,It cannot directly invite participants. You will have to copy the call in and log in information from the gotomeeting website and email this information yourself. It will be better if gotomeeting could let you enter the participants there and send invitation and reminder out automatically.,"- Can't connect multiple meeting room in one time
- It is forcing me to install goto opener in my system"
1246 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Chief Strategic Officer,,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,LOVE this product!,17/5/2018,"As a contractor, GoToMeeting allows me to conduct a professional interface with my clients and allows me to interact with their desktop in order to clearly define meeting goals and outcomes.",At times we have had trouble with audio feature. But it is only occasionally so not something that would be a deal breaker.,"- Can't connect multiple meeting room in one time
- It is forcing me to install goto opener in my system"
1247 Go_To_Meeting,Go_To_Meeting,Mark D.,IT Manager,Servizi ai consumatori,6-12 mesi,5 /5,5 /5,4 /5,5 /5,5 /5,8/10,Nothing Compares To GoToMeeting,8/6/2019,Overall TGM has the best quality video and audio experience when it comes to internet conferencing,The pure quality of the video and audio during all of our meetings are flawless. We have yet to find anything that is close to how good this product is.,I think I would probably like to have a few extra features
1248 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Government Affairs Manager,Ordine pubblico,1-5 mesi,3 /5,4 /5,4 /5,4 /5,4 /5,10/10,The way of the future,19/5/2020,"Overall GoToMeeting has gotten the job done and has been really easy to use. I see a lot of people resulting to zoom over this platform though. However, I think GoToMeeting is essential for webinars which I think definitely out ranks zoom in that regard.","Since COVID hit, like everyone else we have been turning to web platforms to host meetings and virtual events. One thing that stood out with GoToMeeting is their customer service. I would say the call quality also stands out.",The least thing we like about the platform is the mobile format as it is hard to see other attendees and hard to schedule meetings on a mobile device. I also wish the host could control all attendees audio by being able to mute everyone. I think that feature is essential.
1249 Go_To_Meeting,Go_To_Meeting,Sandy F.,Media/Marketing Manager,,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,"Wherever, whenever, Simple, and above all - easy.",27/6/2018,"Easy meetings with people across the country, simple screen sharing, and so much more!","You are able to, without messing up your workday, meet with whoever you need to, whenever you need to, however you need to! For me, knowing that whenever I need to get in contact with someone, this is the best and easiest way to do it! Simply log in to a site, call a number (if you want/need to), and done.","Very very little. It's one of the most straightforward programs I've ever used. You don't need to have specific programs or software, just the internet and a phone!"
1250 Go_To_Meeting,Go_To_Meeting,Salome M.,Head of sales,Servizi finanziari,1-5 mesi,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Future meetings app,28/3/2020,"Since our company employs about 200 people, we also have a lot of clients and we have meetings every day. The flexibility of our meetings became very important and we started looking for an application that would allow us to do so. At first we tried two other applications, the second of which we liked especially (not to mention the name), since we care about continuous development we found this app that exceeded all expectations. There have never been such easy and quality online meetings for which we are grateful for this app.","we have no concerns about the app. It is very easy to use, which is something our clients agree with, some of which were for the first time involved in an online conference and have not created any problems at all. The good quality of the app is also remarkable.","Very very little. It's one of the most straightforward programs I've ever used. You don't need to have specific programs or software, just the internet and a phone!"
1251 Go_To_Meeting,Go_To_Meeting,Brendan C.,Business Analyst,Computer e sicurezza della rete,6-12 mesi,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,Spotty Computer Audio Voice but great features,16/9/2019,It is a solid platform in a saturated market. The features are pretty standard across other competitors so the pricing is going to play a large role in choosing the product,"The features, recording, screensharing, and communication are great. The browser version as well is very stable and contains a lot of the same features.","There are intermittently bad connections when using the computer audio settings. Does not seem to be related to network issues as once you disconnect and reconnect, it fixes."
1252 Go_To_Meeting,Go_To_Meeting,Harshavardhan P.,Application Engineer,Software informatici,Più di 1 anno,5 /5,5 /5,4 /5,4 /5,5 /5,9/10,Quality Webcast application,21/7/2020,I have used this application to connect customer globally to showcase the knowledge and improve our business.,"Best quality screen, voice projection.
200 participants at a time.
Manage and schedule meetings buy all team members.","UI customizable poor.
No 1 switch access for organiser to lock mic for attendees during the presentation."
1253 Go_To_Meeting,Go_To_Meeting,Melanie T.,office manager,Studi medici,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,10/10,Go to Meeting,14/1/2020,Overall my experience has been a positive one. Managers are able to meet over the computer and also view the hosts screen. This is especially good in order for us to gain a visual of the information provided.,I like that fact that with such a large scale company that all of the employees can join in on one meeting. We have managers that are spread out throughout several states so being able to have a meeting with all of us is imperative.,This is an successful program that works very well. i haven't experienced any technical difficulties.
1254 Go_To_Meeting,Go_To_Meeting,Jay L.,Committee Member,Gestione di organizzazioni non profit,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,5 /5,10/10,Excellent platform for holding webinars and group meetings,5/9/2019,We have monthly meetings where we share information and plan for future projects. Everyone on the calls are very interactive and find the platform extremely easy to use. I highly recommend this platform to anyone who needs to do online meetings and presentations.,"First and foremost, this is an incredibly simple platform to use and that comes in very handy since many of the people that are on the meetings are not tech savvy. It is easy to navigate through the set-up and through the needed screens when giving a presentation. They have everything available to run a quick and efficient meeting - screen share, mute, chat, commenting, etc. It seems to work very well with just about every browser.",I have not run across a downside or issue yet. everything is functional and easy to use. I haven't even had to contact customer service at all.
1255 Go_To_Meeting,Go_To_Meeting,Matt D.,BD Manager,,Più di 1 anno,5 /5,5 /5,4 /5,4 /5,Nessuna recensione,9/10,GotoMeeting let me join meetings from my Phone,27/2/2018,GotoMeeting helps with online meetings and it helps me to join meetings from my phone. The screen share feature works great and we can show our screen to clients to demonstrate work.Gotomeeting helps with chat tool which lets team chat during the call as needed. It helps with file sharing features also.,"First and foremost, this is an incredibly simple platform to use and that comes in very handy since many of the people that are on the meetings are not tech savvy. It is easy to navigate through the set-up and through the needed screens when giving a presentation. They have everything available to run a quick and efficient meeting - screen share, mute, chat, commenting, etc. It seems to work very well with just about every browser.",I have not run across a downside or issue yet. everything is functional and easy to use. I haven't even had to contact customer service at all.
1256 Go_To_Meeting,Go_To_Meeting,Karen R.,Bookkeeper,Contabilità ,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Go to Meeting offers virtual meetings with large groups,9/7/2020,Go to Meeting offered a way to virtually meet with peers and superiors allowing a meeting that would have otherwise not been feasible due to the locations of attendants. It offered a way to share knowledge and get feedback from peers and supervisors.,The ability to participate in meetings with coworkers in a virtual setting in order to offer support to each other and exchange knowledge between peers. I found it to be a valuable resource.,"There were some issues with being ""dropped"" from the meeting and having to get back in with the group. This occurred with large groups, 15 plus members."
1257 Go_To_Meeting,Go_To_Meeting,John T.,Director of Information Technology,Prodotti chimici,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,5 /5,8/10,Meetings made easy,16/4/2020,Overall it has brought together communications from various departments from different locations. It has been great for training and re-training with the record feature.,"The simplicity of scheduling and starting meetings. Being able to share screens, interact and not to mention record the entire meeting is great.",Sometimes the quality of the audio calling into the meeting is hard but it could be contributed to the users devices used to call in and whether or not they are on speakerphone. Also the conversion of the recording takes too long.
