,ID_General,Piattaforma,Settore,Utilizzo_software,Consigliato,Data_Recensione,Incovenienti,Lang,bin_y
193,2731 Asana,Asana,Charity & Voluntary Work,2+ years,3.0,13/06/2020,sound appealing first trying feel cumbersome hard onboard new,en,0
194,2740 Asana,Asana,Law & Security,2+ years,6.0,06/09/2019,challenge implement everyone aligned start requires coordination cooperation,en,0
195,2744 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,07/07/2020,missing_feature others paid tier case especially solo freelancer sense pay price asking desired feature,en,0
196,2749 Asana,Asana,"Accountancy, Banking & Finance",2+ years,6.0,22/09/2020,somewhat clunky find_it_difficult customize layout different project_management structure,en,0
197,2759 Asana,Asana,Information Technologies,2+ years,7.0,11/06/2020,honestly encountered con year ill figure flaw app,en,0
198,2769 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,31/07/2017,feature suggestion product task moving ahead expected,en,0
199,2783 Asana,Asana,"Business, Consulting & Management",2+ years,2.0,16/02/2020,room growth limited find value outlook calendartasks example,en,0
200,279 Asana,Asana,Teacher training & Education,2+ years,6.0,26/09/2019,aesthetically clunky better board template calendar feature take_a_long_time truly adept wish folder project help organize often_time task_project long,en,0
201,2791 Asana,Asana,Media & Internet,2+ years,5.0,05/12/2018,per view point friendly,en,0
202,2806 Asana,Asana,Retail,2+ years,5.0,13/10/2018,email_notification ditched company decided trello instead say trello better email_notification still problematic interface complicated deleted system,en,0
203,2812 Asana,Asana,Creative Arts & Design,2+ years,7.0,26/04/2019,certain context found hard manage project keep organized long list project cluttering interface,en,0
204,2815 Asana,Asana,Information Technologies,2+ years,6.0,03/11/2016,cumbersome sometimes_cause browser crash mobile intuitive,en,0
205,2816 Asana,Asana,Media & Internet,2+ years,7.0,19/03/2019,subtasks cannot synced job,en,0
206,2822 Asana,Asana,Retail,2+ years,0.0,12/06/2020,type app take trust environment created hostile environment people werent updating share everyone else team toe,en,0
207,2827 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,17/07/2020,feel missing anything office sister company,en,0
208,2842 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,12/03/2019,intuitive project_management,en,0
209,2848 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,09/06/2020,initial setup learning take_time friendly involves investigation find navigate,en,0
210,2854 Asana,Asana,Information Technologies,2+ years,3.0,22/09/2020,customizable set deadline task connect ie task expires n day completed task delayed update deadline time,en,0
211,286 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,03/12/2018,pricing plan continue escalated cost rapidly force minimum number tier 6 seat force buy 10 nearly doubling cost per,en,0
212,2875 Asana,Asana,Information Technologies,2+ years,,17/09/2015,search slow offline support mobile gantt_chart view,en,0
213,2884 Asana,Asana,Information Technologies,2+ years,3.0,06/12/2019,feature clear le efficient old post,en,0
214,2902 Asana,Asana,Science & Pharmaceutical,2+ years,6.0,24/08/2020,upkeep feature challenging sure everyone team standard come keep upto date hard integrate research development project since rd requires multiple iteration reach success,en,0
215,2906 Asana,Asana,Environment & Agricolture,2+ years,5.0,03/12/2019,setup understanding project ground difficult confusing take approach anyone team industry challenged establish setup project looking app based project_management solution missed mark,en,0
216,2908 Asana,Asana,Healthcare,2+ years,6.0,04/10/2019,dependency tracking task team something difficult_to_figure mobile_version app time non interactive,en,0
217,2913 Asana,Asana,"Leisure, sport & Turism",2+ years,6.0,05/02/2019,pricing high small project youll big investment,en,0
218,292 Asana,Asana,Creative Arts & Design,2+ years,7.0,13/10/2020,added feature worth cost product syncs icalendar fantastical apps sync completed tasksprojects almost entirely defeat purpose,en,0
219,2924 Asana,Asana,Teacher training & Education,2+ years,5.0,22/08/2020,advanced_feature automating task hard compared_to_other_product,en,0
220,2928 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,22/11/2019,email integration anymore though think thats integrate seamlessly email,en,0
221,2932 Asana,Asana,Creative Arts & Design,2+ years,5.0,29/09/2020,note review comparison wrike another client comparison say wrike wrike offer myriad option several level organization offer fraction robust however frustrating project_management system offer,en,0
222,2936 Asana,Asana,"Business, Consulting & Management",2+ years,5.0,03/08/2018,integrate slack easily reason switching bot slack called todo bot assign_task member_team integrates nicely,en,0
223,2938 Asana,Asana,Property & Constructions,2+ years,1.0,11/04/2019,difficult learn guide someone show,en,0
224,2944 Asana,Asana,Creative Arts & Design,2+ years,5.0,23/04/2020,cluttered cumbersome onboard especially pm background feature obvious could,en,0
225,2946 Asana,Asana,Healthcare,2+ years,7.0,09/07/2020,hate hipaa compliant color code field convert file lacking,en,0
226,2948 Asana,Asana,Recruitment & HR,2+ years,7.0,16/07/2019,appear tricky master usage based various automated alert via_email distracting working projectsmatters,en,0
227,2950 Asana,Asana,Charity & Voluntary Work,2+ years,4.0,19/10/2019,felt lacking functionality eventually switched different could attach item list,en,0
228,2951 Asana,Asana,Creative Arts & Design,2+ years,7.0,16/09/2019,difficult people_team learn team annoyed number email sent project,en,0
229,2961 Asana,Asana,"Business, Consulting & Management",2+ years,5.0,17/09/2020,feel place check update notification system confusing,en,0
230,2962 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,19/03/2020,learning_curve new intuitive menu option various view little explanation difference list view automatically appear order task chronologically example explanation,en,0
231,2972 Asana,Asana,Charity & Voluntary Work,2+ years,5.0,15/10/2019,wasnt versatile clickup free_version stripped reporting custom field gantt_chart,en,0
232,2975 Asana,Asana,Property & Constructions,2+ years,0.0,06/02/2019,entering task system cumbersome tracking progress seem happen email useless unnecessary wasnt functional capacity needed,en,0
233,2976 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,23/09/2020,pick quickly took 3 week actually figure team,en,0
234,2978 Asana,Asana,"Leisure, sport & Turism",2+ years,,23/05/2016,none envision complex project could challenge,en,0
235,2994 Asana,Asana,Information Technologies,2+ years,7.0,08/10/2019,able create enough workflow organization wish worked certification keep_track something could handle,en,0
236,2996 Asana,Asana,Creative Arts & Design,2+ years,6.0,26/08/2019,impression viable replacement top tier project_management include key feature advanced expect,en,0
237,2998 Asana,Asana,Media & Internet,2+ years,6.0,22/09/2020,project_management aspect task_management struggled find groove task_management option,en,0
238,3 Asana,Asana,Information Technologies,2+ years,7.0,30/09/2019,think amazing lack_feature seen robusts zoho project still integrate small give_access gantt_chart timeline pay additional integration,en,0
239,3001 Asana,Asana,Enginering & Manufactoring,2+ years,5.0,15/01/2019,basic_feature offered free_version ie timeline file attaching,en,0
240,3005 Asana,Asana,"Leisure, sport & Turism",2+ years,5.0,19/10/2019,small_company additional aid pricy money worth operates,en,0
241,3014 Asana,Asana,Healthcare,2+ years,7.0,29/04/2019,freedom come implementing customization youd,en,0
242,3017 Asana,Asana,Creative Arts & Design,2+ years,3.0,30/08/2019,jira trello vsts solution provide feel memo list trying project_management clunky expect add person onto ticket collaborative working guy,en,0
243,3020 Asana,Asana,Information Technologies,2+ years,3.0,24/06/2020,big fan site project_management task_management,en,0
244,3022 Asana,Asana,"Business, Consulting & Management",2+ years,,21/09/2015,lack gantt view,en,0
245,3029 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,22/12/2017,task_and_subtasks complicated gantt option native come via third_party addon end possible native,en,0
246,3040 Asana,Asana,Retail,2+ years,7.0,10/08/2019,premium feature_seem little expensive builtin graphic blah,en,0
247,3041 Asana,Asana,Recruitment & HR,2+ years,7.0,14/01/2019,trello tried felt feature_missing functionality share email connect document board missing,en,0
248,3042 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,16/06/2020,take learn complicated feel slightly overbearing assigning people list,en,0
249,3052 Asana,Asana,"Business, Consulting & Management",2+ years,6.0,04/08/2020,flexibility mean messy hard organize hard_to_keep process check,en,0
250,3056 Asana,Asana,"Leisure, sport & Turism",2+ years,4.0,25/10/2019,feel par popularly alternative originally fairly advanced either overall functionality thorough consistency vital function,en,0
251,3060 Asana,Asana,Teacher training & Education,2+ years,6.0,24/08/2019,point handling looked complicated experience flow place struggled find application ended taking time,en,0
252,307 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,31/03/2019,people appreciate give another inbox stay top integrated workflow getting assignment project update remembering check collaborative project group lift everyone committed people track task point designed team youre willing try invest time find solution youre lone wolf experience benefit,en,0
253,3072 Asana,Asana,Information Technologies,2+ years,7.0,27/07/2020,1 task downloadable feature 2 faster customer_support speed 3 cross functional collaboration feature,en,0
254,3084 Asana,Asana,Information Technologies,2+ years,7.0,29/09/2020,assigning_task person time_tracking per person per task,en,0
255,3087 Asana,Asana,Media & Internet,2+ years,5.0,20/03/2018,deeper usefulness beyond interface lacking basically fancy todo list actually team productive though time creating assigning_task,en,0
256,3089 Asana,Asana,Enginering & Manufactoring,2+ years,2.0,12/03/2019,simplier free,en,0
257,3092 Asana,Asana,Information Technologies,2+ years,6.0,30/06/2020,least_favorite fragile task easily deleted forgotten check trash later,en,0
258,3104 Asana,Asana,Creative Arts & Design,2+ years,5.0,20/09/2020,time went feel helped enough wasnt enough toolsresources team,en,0
259,3106 Asana,Asana,Healthcare,2+ years,7.0,04/12/2018,wanted support tutorial expect free app,en,0
260,3114 Asana,Asana,Information Technologies,2+ years,6.0,04/12/2019,sometimes organization difficult little tough understand structured beginning,en,0
261,3115 Asana,Asana,Property & Constructions,2+ years,5.0,16/12/2019,hidden task second panel made difficult task clear view accomplish hard organize task based time today tomorrow nondated item,en,0
262,3123 Asana,Asana,Teacher training & Education,2+ years,7.0,26/03/2020,little_confusing first knowing familiar,en,0
263,3125 Asana,Asana,Healthcare,2+ years,5.0,16/09/2020,honestly 1010 hand fav team management life breeze recommend,en,0
264,3134 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,03/12/2019,found first challenge went smoothly integration apps blessing curse ton remotely functional,en,0
265,3138 Asana,Asana,Information Technologies,2+ years,,28/04/2016,wish ifthen type project completion,en,0
266,3141 Asana,Asana,Information Technologies,2+ years,2.0,26/04/2019,customer_service pricing discount offered solution provide service fraction cost,en,0
267,3144 Asana,Asana,Teacher training & Education,2+ years,6.0,10/08/2020,feel_could change overwhelmed new could result delay,en,0
268,3152 Asana,Asana,Healthcare,2+ years,7.0,21/05/2020,email receive annoying seemed getting notification task reminder task multiple_time week notification comment general email stopped looking became annoying lead usingchecking le,en,0
269,3154 Asana,Asana,Creative Arts & Design,2+ years,4.0,03/12/2019,gantt_chart bulky cumbersome hard read harder edit email_notification annoying hard disable worst peruser price tag incidental log managed alone infeasible resource planning,en,0
270,3159 Asana,Asana,Information Technologies,2+ years,3.0,02/07/2019,learning_curve high everyone learn,en,0
271,3161 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,16/04/2019,major gripe,en,0
272,3166 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,20/11/2018,limited workflow functionality traditional whiteboard style digital setting,en,0
273,3170 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,10/02/2017,try market leader slow update daily speed,en,0
274,3176 Asana,Asana,Information Technologies,2+ years,7.0,26/03/2019,found_it_difficult none guy liked,en,0
275,3180 Asana,Asana,Teacher training & Education,2+ years,7.0,02/04/2019,expensive definitely cheaper product job,en,0
276,3182 Asana,Asana,Creative Arts & Design,2+ years,6.0,30/10/2019,felt overwhelming feature amount notification coming default obnoxious,en,0
277,3183 Asana,Asana,Healthcare,2+ years,7.0,23/06/2020,hate limit functionality unless paid service feel_limited sometimes,en,0
278,3185 Asana,Asana,Enginering & Manufactoring,2+ years,7.0,20/11/2018,still struggle set new project spite training,en,0
279,3202 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,21/05/2020,sometimes_glitch hard_time adding coworkers collaboration ofcourse server speed find happens often,en,0
280,3209 Asana,Asana,Property & Constructions,2+ years,4.0,09/04/2020,paying attention public group could seen stick email outlook calendar better,en,0
281,3210 Asana,Asana,Public Services & Administration,2+ years,3.0,06/12/2016,slow loading feature_competitor,en,0
282,3211 Asana,Asana,Teacher training & Education,2+ years,7.0,19/11/2019,product limited capability option offer,en,0
283,3216 Asana,Asana,Creative Arts & Design,2+ years,7.0,07/05/2019,visibility subtasks poor often difficult know status task subtasks,en,0
284,3228 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,02/04/2020,another system something sits top almost envision something head technologist hard describe completely different update task milestone deadline cumbersome people think huge potential whole experience revamped,en,0
285,3230 Asana,Asana,Information Technologies,2+ years,5.0,12/11/2019,stopgap full integration integrate together,en,0
286,3234 Asana,Asana,Media & Internet,2+ years,7.0,19/08/2020,working fine although small room_for_improvement,en,0
287,3247 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,31/03/2020,big fan interface_feel chaotic,en,0
288,3250 Asana,Asana,Information Technologies,2+ years,7.0,19/11/2019,free tier 15 next tier us1099 per billed annually expensive,en,0
289,3259 Asana,Asana,Environment & Agricolture,2+ years,7.0,30/03/2020,integration email outside file storage easier able_to_view backup file coworkers,en,0
290,3260 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,03/03/2020,complaint_time stand competitor,en,0
291,3288 Asana,Asana,Enginering & Manufactoring,2+ years,4.0,16/10/2019,design updating feature working design become cumbersome product leaving slack todoist,en,0
292,3305 Asana,Asana,Media & Internet,2+ years,6.0,10/11/2016,lack_of_feature bug function intuitive,en,0
293,3307 Asana,Asana,Healthcare,2+ years,3.0,07/10/2019,think friendly gone multiple_time create task time find confusing hard_time finding task found multiple_people commenting task becomes little messy,en,0
294,3314 Asana,Asana,Recruitment & HR,2+ years,7.0,14/07/2018,add document video required team_member know completed helpful feature added,en,0
295,3315 Asana,Asana,Creative Arts & Design,2+ years,5.0,16/07/2019,feel offer flexibility lack obvious structure userinterface clunky obvious sure part limitation browser project set definitely streamlined experience control,en,0
296,3316 Asana,Asana,"Marketing, Advertising & PR",2+ years,3.0,25/02/2020,felt overwhelming intuitive ended abandoning week 2 couldnt keep,en,0
297,3317 Asana,Asana,"Leisure, sport & Turism",2+ years,5.0,27/10/2019,tend forget desktop appshortcut visual reminder forget check stuff,en,0
298,332 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,22/03/2019,pro come major conuser friendly said know wasnt super figure order place finish task_task completely disappears list wish completed list could_easily back look,en,0
299,3328 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,29/02/2020,har time working graphicsintensive project negative_comment,en,0
300,3333 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,30/05/2019,set task degree fiddly scan around set task thats assigned certain project certain date,en,0
301,3334 Asana,Asana,Retail,2+ years,5.0,24/02/2020,confusing comparable option year thought switch however lacked,en,0
302,3340 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,09/02/2020,free_version youll upgrade paid_version advanced_feature,en,0
303,3343 Asana,Asana,Information Technologies,2+ years,7.0,27/09/2019,okay still believe could achieve upgrading,en,0
304,3346 Asana,Asana,"Business, Consulting & Management",2+ years,7.0,24/01/2020,gantt_chart functionality native charting leaf_desired messy deal sub_task,en,0
305,3353 Asana,Asana,Information Technologies,2+ years,6.0,05/09/2019,integrate chat crms convenient team task process,en,0
306,3357 Asana,Asana,Media & Internet,2+ years,7.0,03/11/2016,none time advertised,en,0
307,3364 Asana,Asana,Teacher training & Education,2+ years,0.0,08/01/2020,unintuitive ever know feature unable figure unusual almost always,en,0
308,3366 Asana,Asana,Information Technologies,2+ years,7.0,21/03/2019,suitable full scale project_management intuitive,en,0
309,3370 Asana,Asana,Information Technologies,2+ years,6.0,10/02/2020,information task deep item tough follow conversation task long,en,0
310,3378 Asana,Asana,Healthcare,2+ years,6.0,23/08/2019,effective least team_member actively managing project via engaging team_member regularly,en,0
311,3384 Asana,Asana,Media & Internet,2+ years,7.0,05/03/2019,till performed greatly con write,en,0
312,3387 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,27/04/2019,little_confusing intuitive hang,en,0
313,3388 Asana,Asana,Teacher training & Education,2+ years,7.0,22/01/2020,new power learning_curve seems pretty steep overwhelmed,en,0
314,3392 Asana,Asana,Retail,2+ years,7.0,28/08/2019,essential project premium_version,en,0
315,3395 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,03/11/2016,think easily lost mix back_and_forth someone internally particular task,en,0
316,3399 Asana,Asana,Property & Constructions,2+ years,3.0,31/01/2019,overall complexity feature sometimes felt spending time thinking structure setup,en,0
317,3401 Asana,Asana,Healthcare,2+ years,5.0,14/03/2019,lack capability charting capability scarce,en,0
318,3406 Asana,Asana,Healthcare,2+ years,5.0,24/12/2019,felt actually hassle working email google_doc sheet purpose,en,0
319,3411 Asana,Asana,Science & Pharmaceutical,2+ years,,24/11/2015,constant evolution built integration webapps integration instagantt create dependent task,en,0
320,3419 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,27/02/2019,lack kanban board sexy fun cx,en,0
321,342 Asana,Asana,Teacher training & Education,2+ years,6.0,28/06/2020,price premium feature expensive feature premium tier,en,0
322,3427 Asana,Asana,Retail,2+ years,7.0,06/08/2019,little unless enjoy face_to_face conversation periodically,en,0
323,3428 Asana,Asana,Media & Internet,2+ years,,22/10/2015,mobile_app useful home run sure theyll,en,0
324,3434 Asana,Asana,"Leisure, sport & Turism",2+ years,6.0,24/09/2019,navigation surprisingly tricky file nested weird place clear structure set upfront youll lost,en,0
325,3447 Asana,Asana,Media & Internet,2+ years,7.0,03/11/2016,paid feature free_version perfectly,en,0
326,3456 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,18/04/2019,free_version seems limited clickup opening task feel slow,en,0
327,3457 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,04/12/2019,task organizing easier come taste organizing connect actually maintain,en,0
328,3461 Asana,Asana,Healthcare,2+ years,4.0,28/07/2019,unsure detailed tutorial interactive useful personally tired trying_to_figure implement project legend explain function useful business owner something plug information clear found_it_a_little difficult identify info,en,0
329,3465 Asana,Asana,"Marketing, Advertising & PR",2+ years,3.0,16/07/2019,ux boring excitement listmaking,en,0
330,3473 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,16/04/2019,reminder difficult check finished assignment confusing,en,0
331,3474 Asana,Asana,Teacher training & Education,2+ years,7.0,22/11/2019,reorder task calendar mode structure organize task add additional detail add functionality,en,0
332,3475 Asana,Asana,Teacher training & Education,2+ years,7.0,03/04/2019,think feature definitely take_a_little time_to_learn something powerful expected,en,0
333,3498 Asana,Asana,"Marketing, Advertising & PR",2+ years,,20/05/2016,administration panel seems abbreviated job people either active prior experience,en,0
334,3508 Asana,Asana,"Business, Consulting & Management",2+ years,7.0,18/11/2019,new project hide old somehow confusing track old overall happy,en,0
335,3514 Asana,Asana,Property & Constructions,2+ years,7.0,31/10/2019,sometimes_feel limited learning_curve take_time,en,0
336,3516 Asana,Asana,Information Technologies,2+ years,5.0,14/05/2019,1 micro management task straight_forward 2 cluttered time,en,0
337,3525 Asana,Asana,"Marketing, Advertising & PR",2+ years,4.0,04/11/2019,figure worked spend time_trying realize wasnt completely reconfigure whatever new system wanted try,en,0
338,3532 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,10/11/2020,thought several feature clunky often communication peoplenotificationsalerts,en,0
339,3533 Asana,Asana,"Accountancy, Banking & Finance",2+ years,5.0,07/05/2019,lag_time hard deal youre small screen side menu fan api allow brand new group creation assignment,en,0
340,3536 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,18/07/2019,incentive compliance integrate ms365 suite,en,0
341,3538 Asana,Asana,Teacher training & Education,2+ years,5.0,29/12/2018,fairly basic unless upgrade paid_plan ux,en,0
342,3541 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,13/03/2019,assigning multiple_people task difficult worked around breaking task apart assigning subpart individual people,en,0
343,3542 Asana,Asana,Information Technologies,2+ years,2.0,31/10/2019,experience spent time searching feature actually app,en,0
344,356 Asana,Asana,Environment & Agricolture,2+ years,7.0,19/09/2017,learning functionality addon apps associated incredible learning_curve everyone team understand working multigenerational company hard older generation,en,0
345,3566 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,24/09/2020,spanish version feature team across different global office roadblock english option,en,0
346,3586 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,11/02/2019,poor customer_support take_long responding,en,0
347,3587 Asana,Asana,Retail,2+ years,7.0,25/05/2019,interface amount update sends spam,en,0
348,3599 Asana,Asana,Media & Internet,2+ years,6.0,26/07/2019,group purpose limited visibility working centralized area caused always manage project schedule deadline google spreadsheet,en,0
349,360 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,08/09/2020,paid v unpaid drastic always cost effective compared business starting always sense upgrade paid,en,0
350,3603 Asana,Asana,Information Technologies,2+ years,7.0,05/02/2019,flaw product necessarily effectiveness depends bought team_member whole_team centralized task assignment,en,0
351,3608 Asana,Asana,Media & Internet,2+ years,6.0,06/02/2019,dashboard confusing hard_to_find,en,0
352,3610 Asana,Asana,Teacher training & Education,2+ years,7.0,19/12/2018,honestly explored full feature_set mean filter task tag,en,0
353,3614 Asana,Asana,Creative Arts & Design,2+ years,7.0,18/06/2020,actually charm,en,0
354,3616 Asana,Asana,Energy & Utilities,2+ years,5.0,09/07/2020,app follows certain project_management style style close prior app difficult adjust workflow,en,0
355,3625 Asana,Asana,Charity & Voluntary Work,2+ years,5.0,14/08/2019,free plpan data analisys could offer basic kpis,en,0
356,3633 Asana,Asana,Media & Internet,2+ years,7.0,30/03/2019,limited space individual member,en,0
357,3634 Asana,Asana,Hospitality & Event Managements,2+ years,7.0,12/06/2019,alot negative apps variety share customization flashy overall positive impression real negative run,en,0
358,3648 Asana,Asana,"Accountancy, Banking & Finance",2+ years,5.0,02/05/2020,pretty standalone multiple system operation remote environment constantly update keep team_member loop,en,0
359,3651 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,15/01/2019,noisy time becomes difficult track date item wish display different,en,0
360,3653 Asana,Asana,Information Technologies,2+ years,7.0,29/10/2018,mvp feature paid seeing team progress seeing overall,en,0
361,3654 Asana,Asana,Teacher training & Education,2+ years,6.0,10/07/2018,timer task measure long task take feature upgraded version,en,0
362,3656 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,24/01/2019,bloated feature personally,en,0
363,3671 Asana,Asana,Media & Internet,2+ years,6.0,04/10/2016,inability map deliverable visual timelineonly three level activity,en,0
364,3675 Asana,Asana,Recruitment & HR,2+ years,7.0,16/12/2016,apps feature_set,en,0
365,3680 Asana,Asana,Media & Internet,2+ years,5.0,10/04/2020,calendar difficult_to_find task date back task somehow disappeared,en,0
366,3681 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,26/03/2019,making list manually write task receive break communication senior member staff give others task instead talking task nurturing developing staff case poor manager large_number staff hang fine always different level task_task set,en,0
367,3684 Asana,Asana,Public Services & Administration,2+ years,5.0,16/04/2019,new project_management new,en,0
368,3699 Asana,Asana,Information Technologies,2+ years,7.0,21/12/2018,become restrictive version buy new license manage resource,en,0
369,370 Asana,Asana,Media & Internet,2+ years,7.0,28/08/2019,least manual process moving task example assigned task_completed remember manually move next state next person moreover notification receive someone assigns something change something name physically app,en,0
370,3705 Asana,Asana,Retail,2+ years,6.0,25/04/2019,fewatures rememebr could intuitive bet next release better,en,0
371,3706 Asana,Asana,Teacher training & Education,2+ years,6.0,16/10/2018,seemed take_time project set,en,0
372,3712 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,07/02/2020,several feature lacking busted timeline view task frustrating section cannot archived completed must deleted feature changed made significantly difficult listen pricing scheme borderline extortion buying bundle 5 sense youre startup team,en,0
373,3715 Asana,Asana,Information Technologies,2+ years,6.0,20/12/2018,take_time plan take_time employee everyone understands correctly,en,0
374,3742 Asana,Asana,Retail,2+ years,7.0,18/02/2020,clicking detail ticket submitted instead dashboard track progress,en,0
375,3751 Asana,Asana,Science & Pharmaceutical,2+ years,7.0,07/08/2020,feature paid_version could_free think release functionality helpful,en,0
376,3758 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,16/01/2020,attachment feature think pretty thanks,en,0
377,3762 Asana,Asana,Healthcare,2+ years,5.0,19/03/2019,unfortunately standalone integrating outlook apps running challenge,en,0
378,3764 Asana,Asana,Healthcare,2+ years,6.0,13/03/2019,app_sometimes asks login sometimes sometimes delete reinstall pain,en,0
379,3772 Asana,Asana,Information Technologies,2+ years,,29/01/2016,navigating little_difficult figure_first,en,0
380,3784 Asana,Asana,Media & Internet,2+ years,7.0,26/11/2018,took time setup learning_curve higher say basecamp,en,0
381,3786 Asana,Asana,Information Technologies,2+ years,5.0,24/08/2018,full featured enough scale integration,en,0
382,3799 Asana,Asana,"Accountancy, Banking & Finance",2+ years,5.0,27/06/2020,feature_competitor particularly trello ultimately went,en,0
383,3808 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,11/12/2019,breakdown task little feel admin fall rabbit hole getting specific micromanaging task_project,en,0
384,3815 Asana,Asana,Social Care,2+ years,7.0,25/06/2020,always inbox feature find_it_difficult find old message thread often access old email site,en,0
385,3825 Asana,Asana,Media & Internet,2+ years,7.0,29/01/2019,could feature allowing client approval content,en,0
386,3829 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,10/09/2018,option organize view task l needed complete felt overwhelming,en,0
387,3831 Asana,Asana,Property & Constructions,2+ years,7.0,07/04/2020,havent figured think matter changing habit actually rely system right feel thought,en,0
388,384 Asana,Asana,Creative Arts & Design,2+ years,7.0,13/11/2020,although served sometimes_hard enroll everyone working people engaged project enthusiasm last long though better project_management solve,en,0
389,3843 Asana,Asana,Information Technologies,2+ years,7.0,27/11/2018,integrate systemssoftware limited track task,en,0
390,3852 Asana,Asana,Information Technologies,2+ years,5.0,26/05/2020,easiest spending decent amount_of_time figuring,en,0
391,3856 Asana,Asana,Property & Constructions,2+ years,5.0,18/11/2019,email option seen seduce stop following task ideal dailyweekly summary better entire team getting email every_time something added changed,en,0
392,3857 Asana,Asana,Creative Arts & Design,2+ years,6.0,11/01/2019,interface mess especially new bell_and_whistle absolutely youre_looking starting mess found_it_difficult anything,en,0
393,3864 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,28/09/2018,took interface absolutely fine,en,0
394,3879 Asana,Asana,Creative Arts & Design,2+ years,5.0,05/12/2019,experience complicated social_medium project_management suited kind project,en,0
395,3886 Asana,Asana,Creative Arts & Design,2+ years,7.0,10/12/2019,little_complicated people experience apps,en,0
396,3898 Asana,Asana,Public Services & Administration,2+ years,7.0,03/07/2018,least information found give report situation hence complement think_better strengthen able give summary report project situation,en,0
397,3904 Asana,Asana,Energy & Utilities,2+ years,5.0,26/10/2019,keep thinking lag feature visualization progress,en,0
398,3911 Asana,Asana,Public Services & Administration,2+ years,5.0,10/09/2019,tried show collaborative project city however confusing hard recommend product,en,0
399,3925 Asana,Asana,Information Technologies,2+ years,7.0,06/08/2018,drag drop task assignment hard mobile,en,0
400,3926 Asana,Asana,"Accountancy, Banking & Finance",2+ years,2.0,13/09/2017,overly complex depressing gui,en,0
401,3938 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,02/01/2019,seemed team 6 hard organize inputted everyone different format likely userteam fault,en,0
402,395 Asana,Asana,Information Technologies,2+ years,5.0,18/02/2020,first decent reporting realistic getting actionable data across project second try reach learn option largely ignore request,en,0
403,3956 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,20/12/2018,quick add data information demanded time,en,0
404,3959 Asana,Asana,Teacher training & Education,2+ years,7.0,20/07/2019,sometimes could_be_a_little confusing overwhelming look could making little le cluttered,en,0
405,3968 Asana,Asana,Healthcare,2+ years,6.0,03/10/2019,complain,en,0
406,398 Asana,Asana,Property & Constructions,2+ years,6.0,13/09/2019,honestly stand keep logo top left customize inside wrike first logo v vendor logo little irksome,en,0
407,3982 Asana,Asana,Information Technologies,2+ years,7.0,13/10/2019,free_version_limited support columnoriented task_management support task progress indicator,en,0
